"Reference","Value","Footprint","Datasheet","JLC-Part","Mouser-Part","Notes","Sim.Device","Sim.Pins","Socket-Mouser","Qty"
"SW1","SW_Push","Button_Switch_THT:SW_PUSH_6mm","~",,"179-TS026660BK260LCR","OFE",,,,"1"
"C1-C12, C14, C16, C17, C20-C39, C43-C50, C52-C63, C66, C68-C70, C76-C82, C88-C91, C101, C110, C112-C117","100nF","Capacitor_SMD:C_0402_1005Metric_Pad0.74x0.62mm_HandSolder","~","https://jlcpcb.com/partdetail/1877-CL05B104KO5NNNC/C1525","187-CL05B104KO5NNNC","JLC",,,,"78"
"C13, C15, C18, C19, C40-C42, C51, C64, C65, C67, C92, C111","1uF","Capacitor_SMD:C_0402_1005Metric_Pad0.74x0.62mm_HandSolder","~","https://jlcpcb.com/partdetail/53938-CL05A105KA5NQNC/C52923","187-CL05A105KA5NQNC","JLC",,,,"13"
"C93-C100","2200pF","Capacitor_SMD:C_0402_1005Metric_Pad0.74x0.62mm_HandSolder","~","https://jlcpcb.com/partdetail/1883-0402B222K500NT/C1531","81-GRM155R71H222KA1J","JLC",,,,"8"
"C71, C73, C75, C84, C86","10uF","Capacitor_THT:CP_Radial_D5.0mm_P2.50mm","~",,"710-860010372001","OFE",,,,"5"
"C72, C74, C83, C85, C87","100uF","Capacitor_THT:CP_Radial_D7.5mm_P2.50mm","~",,"710-860010473007","OFE",,,,"5"
"P1","AT-P8","Connector_Molex:Molex_KK-396_A-41791-0006_1x06_P3.96mm_Vertical","~",,"538-26-60-4060","OFE",,,,"1"
"P2","AT-P9","Connector_Molex:Molex_KK-396_A-41791-0006_1x06_P3.96mm_Vertical","~",,"538-26-60-4060","OFE",,,,"1"
"J8","ATX-24","Connector_Molex:Molex_Mini-Fit_Jr_5566-24A_2x12_P4.20mm_Vertical","https://www.intel.com/content/dam/www/public/us/en/documents/guides/power-supply-design-guide-june.pdf#page=33",,"538-39-28-8240",,,,,"1"
"J7","POWER","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","~",,"523-G800NA306018EU","OFE",,,,"1"
"J9","RESET","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","~",,"523-G800NA306018EU","OFE",,,,"1"
"J2","FPU CLK","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","~",,"523-G800W305018EU","OFE",,,,"1"
"J10","BIDEN","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","~",,"523-G800W305018EU","OFE",,,,"1"
"IDE0","Conn_02x20_Odd_Even","Connector_PinHeader_2.54mm:PinHeader_2x20_P2.54mm_Vertical","~",,"710-61203921621","OFE",,,,"1"
"Y1","16M","Crystal:Resonator-3Pin_W7.0mm_H2.5mm","~",,"81-CSTLS16M0X55-B0","Mouser",,,,"1"
"D9, D10","1N4148W","Diode_SMD:D_SOD-123",,"https://jlcpcb.com/partdetail/st_semtech-1N4148W/C81598","833-1N4148W-TP","JLC","D","1=K 2=A",,"2"
"FID1-FID3","Fiducial","Fiducial:Fiducial_1mm_Mask2mm","~",,,"NA",,,,"3"
"D1-D8","LED","LED_THT:LED_D3.0mm","~",,"859-LTL1CHJETNN","OFE",,,,"8"
"H1-H9","4mm","MountingHole:MountingHole_4mm_Pad_Via","~",,,"NA",,,,"9"
"X1","50M","Oscillator:Oscillator_DIP-8","http://cdn-reichelt.de/documents/datenblatt/B400/OSZI.pdf",,"815-ACH-50-EK","Mouser",,,,"1"
"X2","25.175M","Oscillator:Oscillator_DIP-8","http://cdn-reichelt.de/documents/datenblatt/B400/OSZI.pdf",,"774-MXO45HS-3C-25.1","Mouser",,,,"1"
"X3","16M","Oscillator:Oscillator_DIP-8","http://cdn-reichelt.de/documents/datenblatt/B400/OSZI.pdf",,"815-ACH-16-EK","Mouser",,,,"1"
